symbol,date,time,frequency,open,high,low,close,volume,value,kind,source,productionUsage
US10Y_MONTHLY_SAMPLE,1953-04-01,1953-04-01T00:00:00Z,monthly,2.83,2.83,2.83,2.83,,2.83,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,1953-05-01,1953-05-01T00:00:00Z,monthly,3.05,3.05,3.05,3.05,,3.05,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,1953-06-01,1953-06-01T00:00:00Z,monthly,3.11,3.11,3.11,3.11,,3.11,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,1953-07-01,1953-07-01T00:00:00Z,monthly,2.93,2.93,2.93,2.93,,2.93,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,1953-08-01,1953-08-01T00:00:00Z,monthly,2.95,2.95,2.95,2.95,,2.95,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,1953-09-01,1953-09-01T00:00:00Z,monthly,2.87,2.87,2.87,2.87,,2.87,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,1953-10-01,1953-10-01T00:00:00Z,monthly,2.66,2.66,2.66,2.66,,2.66,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,1953-11-01,1953-11-01T00:00:00Z,monthly,2.68,2.68,2.68,2.68,,2.68,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,1953-12-01,1953-12-01T00:00:00Z,monthly,2.59,2.59,2.59,2.59,,2.59,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,1954-01-01,1954-01-01T00:00:00Z,monthly,2.48,2.48,2.48,2.48,,2.48,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,1954-02-01,1954-02-01T00:00:00Z,monthly,2.47,2.47,2.47,2.47,,2.47,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,1954-03-01,1954-03-01T00:00:00Z,monthly,2.37,2.37,2.37,2.37,,2.37,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
